emirate_id,location,Geo_coordinates
Abu Dhabi,Abu Dhabi Co-operative Society,
Abu Dhabi,Abu Dhabi Mall,
Abu Dhabi,Abu Dhabi Others,
Abu Dhabi,"Abu Dhabi, Western Region","23.534058,53.800794"
Abu Dhabi,Airport Road,
Abu Dhabi,"Al Ain Mall, Al Ain",
Abu Dhabi,Al Ain Others,
Abu Dhabi,Al Falah Street,
Abu Dhabi,"Al Foah Mall, Al Ain",
Abu Dhabi,"Al Jimi Mall, Al Ain","24.243815,55.725998"
Abu Dhabi,Al Mariah Mall,
Abu Dhabi,Al Nasr Street,
Abu Dhabi,Al Raha Mall,
Abu Dhabi,Al Wahda Mall,
Abu Dhabi,Al Wahda Mall Ext.,
Abu Dhabi,"Al Zeina, Al Raha Beach",
Abu Dhabi,Bawabat Al Sharq Mall,
Abu Dhabi,"Bawadi Mall, Al Ain",
Abu Dhabi,"Century Plaza, Jumeirah",
Abu Dhabi,City Mall Madinat Zayed,"24.659423,53.704138"
Abu Dhabi,"CityMall, Madinat Zayed City",
Abu Dhabi,Corniche,
Abu Dhabi,"Corniche East Road, Capital Plaza Complex",
Abu Dhabi,Dalma Mall,
Abu Dhabi,Dubai-Sharjah Road,
Abu Dhabi,"Exit 36, Tecom, Dubai",
Abu Dhabi,Falah Street,
Abu Dhabi,Hamdan Street,"24.489218,54.362859"
Abu Dhabi,Heritage Village,
Abu Dhabi,"Jebel Dhanna, Western Region","24.164542,52.641997"
Abu Dhabi,Khalidiya,
Abu Dhabi,Khalidiyah Mall,
Abu Dhabi,Khalifa City,
Abu Dhabi,Khalifa Street,
Abu Dhabi,Liwa Mezaira,
Abu Dhabi,location1,
Abu Dhabi,Madinat Zayed,
Abu Dhabi,Marina Mall,
Abu Dhabi,Mazyad Mall,
Abu Dhabi,Meena Road,"24.502877,54.373875"
Abu Dhabi,Mirfa City,
Abu Dhabi,Muroor,
Abu Dhabi,"Mushrif Mall, Abu Dhabi",
Abu Dhabi,Mussafah,
Abu Dhabi,Najda Street,
Abu Dhabi,Salam Street,
Abu Dhabi,Souk Al Central Market,
Abu Dhabi,Sowwah Square,"24.504644,54.388821"
Abu Dhabi,Tourist Club Area,
Abu Dhabi,"Wahat Hili Mall, Al Ain","24.274861,55.777799"
Abu Dhabi,Yas Island,"24.511217,54.600835"
Dubai,"2nd December St., Dubai","25.237238,55.27414"
Dubai,Abu Hail,
Dubai,"Abu Hail, Deira",
Dubai,Airport Free Zone,
Dubai,Al Ahli Club,
Dubai,Al Aweer,
Dubai,Al Barsha,
Dubai,Al Barsha 1,
Dubai,Al Barsha Mall,
Dubai,Al Garhoud,
Dubai,Al Ghurair Center,
Dubai,"Al Ghurair City, Deira",
Dubai,Al Ghusais,
Dubai,Al Ittihad Road,
Dubai,Al Khail Mall,
Dubai,"Al Khaleej Centre, Bur Dubai",
Dubai,Al Muraqqabat,
Dubai,Al Nahda,
Dubai,Al Nahda 2,
Dubai,Al Quoz,
Dubai,Al Qusais,"25.268275,55.38139"
Dubai,"Al Reef Mall, Deira",
Dubai,Al Rigga Road,
Dubai,Al Safa,
Dubai,Al Sufouh,
Dubai,"Arabian Center, Mirdif",
Dubai,Arabian Ranches,
Dubai,Aswaaq Al Mizhar,
Dubai,Barsha,
Dubai,Barsha-1,
Dubai,Bin Sougat Centre,
Dubai,Bur Dubai,
Dubai,"BurJuman Centre, Bur Dubai",
Dubai,Business Bay,
Dubai,"Century Mall, Deira","25.289538,55.347777"
Dubai,City Walk,
Dubai,Citymax Hotel,"25.255719,55.291416"
Dubai,"Cluster A, Jumeirah Lakes Towers","25.066013N,55.138134E"
Dubai,Convention Tower,
Dubai,Deira,
Dubai,Deira City Center,
Dubai,Deira Others,
Dubai,DIFC,"25.209639,55.277145"
Dubai,Discovery Gardens,
Dubai,Downtown Dubai,"25.26944,55.30865"
Dubai,Downtown Dubai / Burj Khalifa,
Dubai,Downtown Jebel Ali,
Dubai,Dubai Creek,
Dubai,Dubai Festival City,
Dubai,Dubai Healthcare City,
Dubai,Dubai International Airport Terminal 3,
Dubai,Dubai Internet City,
Dubai,Dubai Investments Park,
Dubai,Dubai Mall,
Dubai,"Dubai Mall, Downtown Dubai",
Dubai,Dubai Marina,
Dubai,Dubai Marina Area,"25.082163,55.145584"
Dubai,Dubai Marina Mall,
Dubai,Dubai Media City,"25.100073,55.169366"
Dubai,Dubai Outlet Mall,
Dubai,Dubai Silicon Oasis,
Dubai,Dubai Silicon Oasis Cedar Villas,
Dubai,Dubailand,
Dubai,DWTC,
Dubai,Emaar Boulevard,
Dubai,Emirates Hills,
Dubai,Emirates Living,
Dubai,Etihad Mall,
Dubai,Executive Towers,
Dubai,Garhoud Area,
Dubai,Ghusais,
Dubai,"Greens Village, Tecom",
Dubai,Hamilton Residency,"25.186069,55.286078"
Dubai,Ibn Battuta Mall,
Dubai,International City,
Dubai,Internet City - TECOM,
Dubai,"J3 Mall, Wasal Road","25.147399,55.21035"
Dubai,"JBR, The Walk",
Dubai,Jebel Ali,
Dubai,JLT,
Dubai,Jumeirah,
Dubai,Jumeirah / Umm Suqueim,
Dubai,Jumeirah 1,
Dubai,Jumeirah 3,
Dubai,Jumeirah Beach Residence,
